Type,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,Description
Cat,Tabby,Mixed,Golden,Large,Medium,None,None,None,Healthy,2,0,"Ashley and Ginger have been left to fend for themselves by their mummy, who I named Mama Cat. These 2 are her second litter. The first litter have all been adopted by some very generous souls. So these two have been together since birth. They are very playful and friendly, but a bit cautious of strangers. I have been caring for them for the last 5 months and they are both healthy and clean. They are both old enough now to be adopted and hopefully find a loving family. You're more than welcome to adopt one or both, or even if you just want to have a look at them. No hurry at all :)"
Dog,Mixed Breed,Male,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,"Pooch was found by my mother being kept under very poor conditions in enclosed cement barrel with unsuitable food and no water (only cow's milk which is bad for puppies). Pooch has a bad case of mange and was initially pooping a lot of watery discharge. He was also initially very frightened. He was treated with mange medication for over a month and is now a healthy, happy and very active puppy. To know more about his story, please visit my blog here: If interested to adopt and give this happy pup a good home, please contact my mother Jocelyn at. Thank you!"
Dog,Mixed Breed,Female,Brown,Medium,Medium,No,Yes,No,Healthy,1,0,For Adoption
Dog,Shih Tzu,Male,Black,Small,Medium,Yes,Yes,No,Healthy,1,0,Th dog was adopted from Petfinder. I have to give up the dog cos my family is shifting to a condominium and the Management do not allow pets within its premises.
Dog,Mixed Breed,Male,Brown,Medium,Short,No,No,No,Healthy,1,1,Puppy for adoption
Cat,Domestic Short Hair,Female,Gray,Medium,Short,No,Yes,No,Healthy,1,0,"I rescued Mung's pregnant mother, who gave birth to four kittens. Mung is the youngest and most adventurous. She was the first one to wander out of the nest, and usually the first one to explore some new corner of the house. She's also very affectionate. She doesn't like being picked up, but will meow happily when you rub her back and pet her. Litter box trained."
Cat,Domestic Short Hair,Mixed,Black,Medium,Short,No,Yes,No,Healthy,4,0,4 kittens for adoption -currently aged 1.5 motnhs -2 female and 2 male -siblings -litter box trained -can eat solid food -De-liced and healthy -weaned -playful Reason: too many cats at home Please sms if interested.
Cat,Domestic Short Hair,Female,Black,Small,Short,No,No,No,Healthy,1,0,"Before this I wanted to spay my precious bengal cat Memey, but it was a bit late that she got pregnant with some domestic cat. Now, my Memey has passed away, and I'm in deep grief with her loss. I don't think I am able to take care of its kittens. Please I hope to those who are generous enough to adopt this kitten, please contact me as soon as possible."
Dog,Mixed Breed,Male,Brown,Medium,Medium,No,Yes,No,Healthy,1,0,Dog 4 Adoption
Cat,Domestic Short Hair,Male,Black,Medium,Short,No,Yes,No,Healthy,1,0,"Ponky and his siblings were abandoned at our housing area. He is a healthy, active kitten and very talkative. He is litter tray trained. We are looking for someone to adopt him as we have too many cats. It would be great if the person can also adopt his siblings - Inky and Pinky, although this is not a must. We prefer to give him up to a working Malaysian, no students. We are looking for someone who will vaccinate and neuter him and also take him for regular vet checks. He needs to be kept indoors, as He is very young and would not know how to survive outdoor. Being a new environment, he might also runaway if kept outdoors. He is very good with our cats. Keeping a cat is a commitment for about 15 years and they are children that never grow up and it isn't cheap to keep a pet. Only for serious adopters."
Dog,Mixed Breed,Mixed,Black,Small,Short,No,Yes,No,Healthy,2,0,Puppies rescued. 1 male and 1 female.
Cat,Bengal,Female,Gray,Small,Short,No,No,No,Healthy,1,0,"##Yeay, thanks to Melissa baby Tea has finally been adopted and now is living in a loving home with a loving couple. I'm so happy for my baby.:):):) #already been booked I'm trying to find a new home for this baby asap because I could no longer take care of her. I have few cats already. And the mother had given birth to this girl. And the other four siblings. I also need to let her go asap because I'm going to neuter the mother. She has started eating but still once in a while having breastfeed from the mommy. That's why i need to let her go. This baby is very active and playful. But a little bit shy. If there is any loving person who could take care of this kitty, please adopt her and kindly call me asap. Thank you. :)"
Dog,Doberman Pinscher,Male,Black,Medium,Short,None,None,No,Healthy,1,0,Sam Boy is a v intelligent at his young age. Hope some one can give Sam boy a forever home as his present owner is a student and the parents are not agreeable for her to keep a dog. Pls contact Amy if you are interested to adopt him
Dog,Shih Tzu,Mixed,Brown,Small,Long,Yes,Yes,No,Minor Injury,2,300,"This 2 female and male shih tzu was abandoned outside a vet clinic in Johor Bahru. When the vet 1st saw them, they were in a very bad situation. They had severe skin disease and maggots infection. The vet suspected that they were used as a breeding machine by the evil breeder. They are in the vet clinic now. They are very bubbly and love people very much. They had recover now and ready to be adopt. Requirements: -Must agree to bring them for yearly vaccination. -He / She needs to be spayed. -Must provide regular nutritious and balanced meals. -Must have time to spend with them. -Do not caged or leashed them unless it is necessary. -Allow for home visits.. RM of adoption fees include vaccination, spaying and deworming. If you're able to give them a loving home, kindly contact me. Please do not buy pets to prevent another victim like them."
Cat,Domestic Short Hair,Mixed,Black,Small,Short,No,No,No,Healthy,4,0,"i have 3 kittens age 3 weeks for free adoption.3 difference color (orange, black n grey). Please consider to take a mother as they are all still b/feeding. Picture will be uploaded later. Please contact me/emel  ."
Dog,Belgian Shepherd Laekenois,Female,Brown,Large,Medium,Yes,Yes,No,Healthy,1,0,For Adoption
Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,No tying or caging for long hours except for precautionary purposes. Commitment to spay her is compulsory Interested to adopt pls call me
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,No,No,Healthy,1,0,"Brown tabby girl, lovely temperament looking for forever home. Rescued. Interested adopter may WhatsApp me. Tq"
Dog,Mixed Breed,Female,Black,Small,Short,No,No,No,Healthy,5,0,"5 female puppy, good condition. My sister save the puppy during on the way back home. The puppy was walk around the road in front electricity supply house. As been told by an uncle the puppy was there since this morning (/) and before this it doesn't exist so we guess they has been left by someone irresponsibility, purposely! =("
Cat,Domestic Short Hair,Female,Brown,Medium,Short,None,None,None,Healthy,1,0,Hai...i looking for someone who want to adopt her...i found her at my apartment...mommy to be... i put her in my house but always fight with my own cats...i cant keep her because my cats not going well with her...
Dog,Mixed Breed,Mixed,Black,Large,Medium,No,Yes,No,Healthy,12,0,"puppies for adoption. Rescued by some good samaritans. No information on breeds, probably mongrels. All about a month old. They have been dewormed but not yet vaccinated. Cookie- female- Smaller than the rest but fiesty! Snoopy- male- Attention seeker. LOVES wagging his tail! Giant- male- Gentle giant. Very soft fur coat! Very playful! Some videos: Giant and his tennis ball- Giant playing with Snoopy- Giant being bullied- ------------------------------------------------------------------------------------------------ Due to the overwhelming response from my last email (I got close to emails/ sms/ calls), I am sorry but I need to lay down some ground rules. Thank you VERY VERY MUCH in advance for reading this email and forwarding it to your friends and family. Apologies in advance if the terms and conditions set out below are a little ""harsh"", but I have gotten too many emails from very rude people, calls from people who do not even know that it is NOT OK to call people at 2am, etc. Also, our intentions are very simple: WE JUST WANT TO FIND GOOD HOMES FOR THE PUPPIES. 1) Please DO NOT ask me what breed these are, they are stray puppies. If you want a pedigree Siberian Husky, please visit your neighbourhood pet shop. 2) These are large breed dogs, they will grow into a standard size dog. They are not toy dogs, hence not suitable for those who live in an apartment/ condominium. 3) Please DO NOT delete my email with all these information and just forward the photos. I get too many people asking me for information which I have already given in the first place. 4) This email is dated 2 February . This is to manage your expectations on whether the puppy you fell in love with is still available. 5) We reside in Seri Kembangan, KL, near the Astro office (there is someone at home 95% of the time). Please only contact us if you are willing to come to our house to pick the puppies up. It will also mean that we get a chance to meet the new ""owners"" to see whether they are suitable for the puppies. We want to find good homes for the puppies and ensure that they do not get kicked out into the streets once they are grown and lose their cuteness. Those who are interested and agreeable to the above 5 points, please read on: 6) The puppies are free, but as a gesture of sincerity, we hope you can donate RM50 to either SPCA or PAWS. You can pass us the money when you pick up the puppy. We will donate on your behalf and mail you the receipt in your name. If for any reason you cannot afford this token donation, please let us know the reason why, we are very reasonable people. 7) You will need to let us know some basic information about yourself as follows (do include this info in your email): - Name - Where you live and type of house - Who you live with: - Some history on whether you have owned any dogs before 8) No reservations please. First come first served. 9) If your friend/ cousin/ girlfriend/ uncle/ etc is the one interested to adopt, please ask him/ her to contact us directly. It is easier for all this way. 10) If you need clarifications, please call Ryan at."
Dog,Labrador Retriever,Female,Black,Medium,Medium,Yes,Yes,No,Healthy,1,0,"Maya need a caring family...she was a very smart puppy n she trained a basic like sit, lay down, come, run, attack, stay, up, high 5, shakehand, mummum time....she realy a very clever n easy to train her....actualy she like to watch our face when we talk to her...no cages pls...."
Dog,Mixed Breed,Female,Black,Medium,Medium,No,No,No,Healthy,1,0,"Month old male puppies (4 of them) needs a warm loving home. Their mother wandered into our backyard and gave birth. We cant keep all so need to seek out other pet lovers to adopt. They are very active, cute, adorable and lovable. Our heart sinks at the thought of abandoning them. So please call."
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,Yes,Yes,Yes,Healthy,1,150,"Gemuk is a very loving cat. Semi long haired. She's not fussy with food. She's vaccinated, Dewormed n spayed."
Cat,Domestic Short Hair,Male,Golden,Medium,Short,No,No,No,Healthy,1,0,He is toilet trained and active. Looking for new owner that can give alot of TLC. I feed him with ProStar and ayam rebus twice a month.
Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,No,Healthy,1,0,"Scooby needs a HOME ... he had been rescued(with other 4 siblings)--rehomed for pass 5 months. decided took him back coz the x-owner can't take good care of him due to her personal health issues. Scooby is now temporary foster at a friend house,he can only stay there for a short period before friend move out..:( Pls let me know if you have any friends looking for a good dog!many thanks."
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,Yes,No,Healthy,1,0,A good baby girl. To be spayed when old enough.
Dog,Mixed Breed,Female,Black,Large,Short,No,No,No,Healthy,1,50,"Name: Berry (as in Black Berry) Gender: Female Breed: Unknown (Rescued from the drain) Age: 3-4 weeks old Colours: Black on the back, 4 white paws, white belly and white on the tip of the tail, brown in between legs, brows and mouth, a total beauty! Condition: Strong & Healthy Food: Currently drinking milk formula, can start on soft solid food soon Character: Strong, smart, brave, adventurous and loud! Story: I rescued her from a drain near my Condo, she was alone in dark, all wet and cold, yelping for hours until she got my attention when I parked my car. A very persistent fighter!"
Dog,Shepherd,Male,Black,Large,Medium,No,Yes,No,Healthy,1,0,"We found Choco pop trapped in a manhole. He had fallen in several days earlier through one of the drain holes. When we rescued him and took him to the vet, he was fairly healthy, apart from a few minor injuries and fleas. He has recovered since and his coat is slowly growing back. He's a happy and lovable dog. Although generally very docile and obedient, he's an active and playful puppy that would always look forward to feeding time and play time He has made friends with another stray puppy that is under my care and they frequently run around the compound chasing each other and keeping themselves occupied for hours through the day. On chilly rainy days or cool humid nights, they share a cozy cage together to huddle up close or to sleep. He has a very good appetite and is always chewing on rawhide. He's a loyal companion, always gentle, yet watchful and observant. He has come a long way from being an frightened and abandoned stray pup that was trapped in a watery hole for several days without food and clean water to a puppy that is full of life and love in his eyes and heart. We hope that lovable Choco Pop finds a good home with caring owners."
Dog,Mixed Breed,Male,Black,Medium,Short,No,Yes,No,Healthy,1,0,"A kind Feeder rescued Coffee and is fostering him now. Coffee is 9 week old and looking for a good home and a good family. He is very young and need love , patient and attention, so must take care him well. Please call or What app to the feeder at this no or email to"
Dog,Mixed Breed,Male,Brown,Medium,Short,No,No,No,Healthy,1,0,Hi everyone I was told that this boy was abandoned at the factory area. He grew up on the streets and lucky him he has a feeder. The feeder requested me if i can look for a home for this boy who is so loving and yet a good guard dog that he has not heart to leave him on the streets. At the same time he could not take him in because he has a few with him already. Anyone looking for guard dog and yet loving pls contact me to adopt him.
Cat,Domestic Short Hair,Male,Cream,Medium,Short,Yes,Yes,No,Healthy,1,0,"Wait! before you read further, be sure that you are truly willing to commit years to the proper care of the pet you wish to adopted. If you say, ""Yes! I will surely commit & care for my new pet like my life depends on it!"" ....then, please proceed reading! Timmy were rescued. He is healthy & ready for adoption (vaccinated & dewormed). Timmy is an active and fun loving kitten.Loves being around with people and playful. He loves food too ( we feed him fancy feast + RC kitten ). Timmy is toilet trained. Eligibility of adoption: please note we spent lots of love, care, time, energy & money on all our rescues. Are you ok up till here? If yes, please call or whatsapp or . No adoption fee required. If you can't commit to any of our criteria, please save us both the trouble by not calling us. Thank you!"
Cat,Domestic Long Hair,Male,Black,Medium,Long,Yes,Yes,No,Healthy,1,100,"It's never ending! Our two dogs Liam and Oreo found this little one on our walk a few weeks ago. And so we had to climb into the drain to get him... If everyone just neutered their pets, we wouldn't have to keep rescuing!!! If anyone would like to adopt this cutie, please SMS or WhatsApp . Terms and conditions: 1. MUST be kept indoors BUT NOT caged. 2. MUST be neutered at 6 months of age (we will help arrange this if necessary) 3. MUST be given lots of love 4. An interview and home visit will be conducted prior to adoption. 5. Two follow up visits will be conducted post adoption."
Cat,Domestic Short Hair,Female,Brown,Small,Short,No,No,No,Healthy,1,0,"cut cat with long tail, not friendly to strangers, give her some time know you and she'll be friendlier. I'll spay, deworm and vaccinate her if you're willing to adopt her."
Cat,Domestic Short Hair,Mixed,Black,Medium,Medium,No,No,No,Healthy,4,0,4 kittens found in the area of Sri Manja / Sri Sentosa / Petaling Utama. Likely few days old only. I can't take them home now and I hope they kittens will still be there. The mother cat is still missing. Time is crucial to get them taken care of. Eyes still not opened yet. Reach me immediately.
Dog,German Shepherd Dog,Female,Black,Large,Long,Yes,Yes,No,Healthy,1,0,"This female German Shepherd (SONIA) is now for adoption. Her adopter's own female German dog doesn't go along with SONIA, so he got no choice but to find another loving home for her. I hope anyone of you would give her another loving home. She has put on some weight and her fur has grown beautifully. She deserves love and care, not chaining her up 24/7 or caging her. If your are keen, do contact me 😀 P/s: Keep me posted on SONIA monthly."
Cat,Domestic Medium Hair,Mixed,Brown,Small,Medium,No,No,No,Healthy,2,0,"Healthy. Available b(KIV),c and e only. Can only be adopt by early or middle May. Advisable to adopt in pair or it will be great can adopt all 3 of them. Thanks."
Dog,Mixed Breed,Male,Black,Medium,Short,None,None,No,Healthy,1,0,Lovely puppy looking for a forever home. If u are intetested pls conract Joyceline
Dog,Mixed Breed,Male,Brown,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Anfield is: 1. Toilet trained 2. Very sociable 3. Active 4. Good with kids
Dog,Mixed Breed,Male,Black,Medium,Short,No,No,No,Healthy,1,0,Rescue from Indah water area. Healthy and smart.
Cat,Tabby,Male,Golden,Medium,Short,No,Yes,Yes,Healthy,1,100,"Simba is a 1 year old friendly male tabby. He is very affectionate, obedient and docile. (He dosen't bite despite being subjected to his first bath after I took him home!) Simba loves to be petted and wouldn't hesitate coming up to you for some attention. Simba was a stray cat that approached me in a parking lot. I noticed he was sneezing and coughing and brought him to the vet where he was diagnosed with a common cold. Simba is currently on medication and is scheduled for his vaccination and to be neutered soon. He is the most adorable and trusting cat I have ever came across and I wouldn't have hesitated to have adopt him myself, but sadly is unable to due to financial and time constraints. Simba is looking for a forever home and strongly prefers to be kept indoors all the time. He also hopes his new parents would follow up on his subsequent vaccinations, not to mention give him lots of love. Simba is litter-trained and eats both dry and wet food. Pet carrier, litter box, water bowl and scratching board included. Do contact me on whatsapp if you're interested!"
Dog,Terrier,Male,Black,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Dog found at Section 4 Petaling Jaya possibly abandoned. Black with white marking under his neck. Friendly and overall a happy dog... Have sent him for checkup and hes been given a clean bill of health and will be neutered.
Cat,Persian,Female,Black,Medium,Long,No,Yes,No,Healthy,1,100,"Adorable local mix Persian kitten looking for new home. She is Long Hair Calico Girl, a black, cream and brown kitten, about 2 months old now. She has fluffy hair with a straight, fluffy tail too. She has beautiful orange eyes. She has de-flea and was de-wormed on 24th December . She is a bit skinny due to lack of nutrition when we rescued her. She is feeding on kibbles plus wet food (canned fish) now. She is healthy, very active and playful. She is toilet (potty) trained & could be let go at anytime. *RM adoption fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call ."
Dog,Mixed Breed,Female,White,Medium,Short,Yes,Yes,No,Healthy,1,0,"Lulu is a lovely female pup. She was rescued with her siblings and mother. Very healthy, alert and easy to be trained. There's no adoption fees, and only people who live in landed house is allowed to adopt her. Please call / msg me if you're interested."
Dog,Corgi,Male,Black,Small,Medium,Yes,Yes,No,Healthy,1,0,For Adoption Corgi mixed
Cat,Domestic Short Hair,Male,Black,Medium,Short,None,None,None,Healthy,1,0,very friendly cat which love people to pat him
Dog,Mixed Breed,Female,Black,Medium,Short,No,No,No,Healthy,1,0,a friend found this stray puppy at his workplace and has been keeping her for a few days but could no longer keep her as people around started complaining. so i decided to foster her for the time being while looking for someone to adopt her. very energetic and hyper fella!
Cat,Domestic Short Hair,Female,Brown,Small,Short,None,Yes,No,Healthy,1,0,"This is Duchess. She is maybe four months old. Found her starving outside a restaurant six weeks ago. She is very cute, soft, cuddly and adorable. Very affectionate and very very playful too. Duchess needs a permanent home. Please help her."
Dog,Belgian Shepherd Dog Sheepdog,Mixed,Black,Medium,Medium,No,No,No,Healthy,6,0,"6 super cute 1.5 months old fluffy puppies. 3 males, 3 females. Please call Jean ."
Cat,Domestic Short Hair,Male,Black,Small,Short,No,No,No,Healthy,1,0,"Quiet, Loving but playful cat. He and his brother sister love playing at my garden. They are being fed by a kind neighbour. Please whatsapp or call me if you are interested to adopt him. Location : Bandar Mahkota Cheras"
Cat,Domestic Medium Hair,Male,Black,Medium,Medium,None,None,None,Healthy,1,0,Very friendly yet shy cat
Cat,Domestic Short Hair,Male,Yellow,Small,Short,Yes,Yes,No,Healthy,1,0,Rescued and Vaccinated/ Dewormed. Healthy cute & very active kitten.
Cat,Domestic Short Hair,Female,Black,Medium,Short,No,No,No,Healthy,1,0,"Batman is actually a female kitten. She has 2 brothers, Mc Dong Dong and BB. She was born on 9th Dec to a stray cat who was nearer kill by a stray dog when she is still nursing her babies."
Cat,Tabby,Mixed,Black,Medium,Medium,No,No,No,Healthy,2,0,Found them both in the middle of the road. They have started eating wet food and still bottle-feeding. They are healthy and friendly. Would prefer to not separate them if possible.
Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Yes,Healthy,1,0,"We are a group of students from Kampar,Perak who rescuing animals. Please help to adopt if you can, thanks. Believe this is a lost dog or abandon dog becoz she know how to listen to commands. She is extremely friendly, a very good girls. She is up for adoption now. She has been spayed. She is waiting for someone to love her ! Any news do contact."
Cat,Oriental Tabby,Female,Brown,Small,Short,No,Yes,No,Minor Injury,1,0,Sweetie's been through a surgery... intenstines came out and the doctors have fixed her. She's happy and enjoys company. She's a adorable little bub and is active. She is also litter trained. Do check her out!
Dog,Schnauzer,Male,Gray,Small,Medium,Yes,Yes,No,Healthy,1,0,Thank you for all who have contacted us. We found a good home with big space and a playmate for Teddy nearby our home. We get to visit him during the weekends.
Dog,Mixed Breed,Female,Black,Medium,Medium,No,No,No,Healthy,6,0,The Teddy Sisters are a bunch of cute and cuddly puppies. They were found at an empty shoplot nearby my house. They were abandoned by some irresponsible people. They seek love and shelter from a good home.
Dog,Poodle,Female,Brown,Small,Short,Yes,Yes,None,Healthy,1,0,Looking for a home for popo Don't have the time to take care of her
Cat,Domestic Short Hair,Male,Black,Medium,Medium,No,Yes,No,Healthy,1,0,"his name is leo. was found with another cat, molly near my house i took and care for him while getting an adopter who can love and care for him. very active and love to play a lot. easy going boy"
Dog,Mixed Breed,Female,Black,Small,Short,None,Yes,None,Minor Injury,1,0,"A friend who works in pet shop informed that this poor little girl was being abandoned at their shop front. She has some skin problems and probably being abandoned due to this reason. Girlgirl is healthy and is under treatment. Fur been trimmed and believe that after the treatment and good care, she will be a beautiful girl. Give her a chance to have faith on human again. No tying/caging for long period. Please give a home to Girlgirl ♥"
Dog,Mixed Breed,Male,Black,Medium,Short,Yes,Yes,No,Healthy,1,0,"Playful, obedient puppy. Great with other dogs. Very smart and not noisy. Loves cuddles and kisses. I rescued this dog from being tied on a short leash in a chinese shop. Please help spread the word. :)"
Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,No,Healthy,1,0,For Adoption
Dog,Schnauzer,Female,Gray,Medium,Medium,Yes,Yes,No,Healthy,1,0,"Adoption!!! Miniature schnauzer looking for good home. Who are interested, please drop us a message. DOB : - (3 years old) Gender : female Color : salt & pepper With complete vaccination & deworming record *must be pet lover*"
Dog,Poodle,Male,Gray,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Poodle is friendly and very eager to be free of the cage he is in since rescued. Please call or whatsapp Jocelyn at if prepared to care for Poodle till God takes him.back. Dogs are not for short fun so adopt only if seriously commited. Please don't sms or email.
Cat,Domestic Short Hair,Mixed,Cream,Medium,Short,No,Yes,No,Healthy,2,0,"Chicken and Beef. FREE kittens to a good home. I can't tell their sex but im guessing beef is the male. too young for my noob eyes. Chicken is slightly underweight. Both loves raw and fried chicken. both dewormed. chicken makes a funny noise when you give it it chicken. Beef is the aggressor. always picking a fight and starting a rave. A Gentleman too, if there was only 1 piece of chicken left, beef will let chicken have it. no fungus. Will tear your leather furniture apart! Will steal food. don't say i didn't warn ya. Rescued from kedai makan."
Dog,Jack Russell Terrier,Female,Cream,Small,Short,Yes,Yes,Yes,Healthy,1,0,BERRY has found a new home! Thank you for everyone who inquired about her.
Cat,Persian,Male,Black,Medium,Long,Yes,Yes,No,Healthy,1,0,He is really really super active. Email me your details if interested to adopt : - RESTRICTED TO SERIOUS ADOPTER ONLY. (Questionnaire and discussion)
Dog,Beagle,Female,Black,Medium,Medium,Yes,Yes,No,Healthy,1,0,"Babie she is a smart, playfull and friendly dog with the MKA certificate. Only for the serious dog lover are welcome for adoption."
Cat,American Shorthair,Female,Gray,Medium,Medium,No,No,No,Healthy,1,0,"This is Catty, she is pretty rare in malaysia. Sometimes she might be grumpy"
Cat,Domestic Short Hair,Mixed,Black,Small,Short,Yes,Yes,No,Healthy,3,0,"Hi we are 1 brother and 2 sisters, 2 months old. We are living at the corridor but some people don't like us, they threw us to the dustbin. But we are strong enough to get back here and now we are looking for a home that welcome us."
Dog,Mixed Breed,Female,Golden,Medium,Long,Yes,Yes,Yes,Healthy,1,0,"Dumped by owner when pregnant. Has Spitz mixed look. Friendly, quiet and intelligent and a good mother. Will bark when strangers come near her territory. Mother of pet PF. Joint adoption if possible, but not compulsory."
Dog,Mixed Breed,Mixed,Black,Medium,Short,Yes,Yes,No,Healthy,2,30,"Meet Kopi-O and Milo. A friend has got to let them go due to unforeseeable circumstances. So let's help them find a new home. They're trained, friendly, and full of love. If you or any one of your friends are interested, please let me know. I would take them home, but my little sisters are a handful already. Please and thank you. PS, I know it doesn't matter when they look as adorable as this, but they're both half rotties. That means, they'll be fantabulous guard dogs."
Cat,Domestic Short Hair,Male,Black,Medium,Short,No,Yes,No,Healthy,1,0,"Just rescued the poor thing from drowning in the drain~ Was infected with fleas but now in clean state, cleaned it with soap in lukewarm water, followed by flea dips. Gave him Drontal for worms. Now waiting for some kind soul to give him a home~ very playful & cute, purrs whenever you hold him."
Cat,Domestic Short Hair,Male,Golden,Small,Short,Yes,Yes,None,Healthy,1,0,"Very loving sweet manja cat that was abandoned by his expat family. Whole body white, head orange patch and long orange tail."
Dog,Mixed Breed,Mixed,Black,Medium,Short,No,Yes,No,Healthy,4,0,4 super adorable 2 mths old puppies looking for their forever homes and human mommy and daddy! They have beautiful patches and fur color that make them stand out and wanna make u hug and squeeze them! Pls buzz me and let me know which one u r interested or need to see more photos k.
Cat,Domestic Long Hair,Male,Golden,Medium,Long,Yes,None,None,Healthy,1,0,i'm looking for a new owner for my cat A.S.A.P b'coz i'm not able to take care of them in a small flat anymore..it is not a proper place to keep my pets.curerently i had 7 of them in my house and i had no one to take care of them while i'm working or outstation..anyone interested can contact me..
Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,No,Healthy,1,0,For Adoption
Cat,Domestic Medium Hair,Male,White,Medium,Medium,None,None,None,Healthy,1,0,"Blue eyes, cute kitty available for immediate adoption to a loving forever home :)"
Dog,Terrier,Female,Brown,Small,Medium,Yes,Yes,None,Healthy,1,0,"Zoey was rescued in April on MRR2 highway, suspected being abandoned, with severe malnutrition and maggots wound. She has completely healed now and has turned into a friendly, joyful and happy companion. Easy to handle as she is very gentle, do her biz outdoor (carporch) and not noisy. Please contact me if you are interested to give her a forever home. Tq."
Cat,Domestic Short Hair,Male,Golden,Small,Short,No,Yes,No,Healthy,2,0,"Charlie and Harry are two adorable little boy kittens, they are about three months old and are at that stage where they are very playful - always running, jumping and tumbling about. They are very clean, very healthy and very playful. They love to sit on your lap and be stroked. They are litter trained and are used to other cats and our large dog. It would be lovely if they could be adopted together. Their new owner must have them neutered. Please call, sms or e mail if you can offer Harry & Charlie a 'forever' home. Thank you."
Cat,Siamese,Female,Brown,Medium,Medium,No,No,No,Healthy,1,0,"Misty is a sweet and sociable kitten. She enjoys cuddling and being with people. She is also very friendly and likes other cats. Her favorite thing to do right now is trying to catch her own tail. Misty is looking for a family to call her own. If you are able to provide a safe and loving home for Misty, please contact me. I am able to provide transportation to her new home, if needed. I am also willing to sponsor neutering costs in the future."
Dog,Mixed Breed,Male,Brown,Medium,Short,No,No,No,Healthy,1,0,"A litter of pups were found in a pipeline & busy street. Our rescuer fearing they may be crushed just had to save them. They are frightened and hoping for a Tender, Loving, Care home. Please call or for further details on the adoption."
Cat,Domestic Short Hair,Female,Black,Small,Short,No,No,No,Healthy,1,0,We have adopted a pregnant cat and gave birth to 2 beautiful female kitties. We would like to find an adopter who can take this lovely kitty as we already have 2 adult cats at the moment. Short description of the kitten: - 2 months old - Female DSH - Toilet trained since 2 weeks old - Very lovable and friendly - Eats Blackwood for kitten - Indoor cat *Only for serious pet adopter. First come first serve basis. Self pick up at Gombak / Danau Kota / Setapak area. Advisable to bring your own carrier. Thanks in advance :)
Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,No,Healthy,1,0,"A soft sweet little girl , loves to play and manja with you Putting her up again as prior adopter returned her to us , they were not able to manage her ""hyper-activeness"" O.o ps : we prefer our puppies to be adopted by families and have experiences with dogs"
Dog,Mixed Breed,Female,Black,Medium,Medium,No,No,No,Healthy,8,0,"My aunt found Mamadog with her newly-born puppies hiding under a bush. It was pouring and poor Mamadog was trying very hard to shade all of them from the rain. The pups are now 6 weeks old and currently at Kajang. (ONLY 3 FEMALE PUPS LEFT) Mamadog will be spayed early November and we are also putting her up for adoption. She's about 1+ yrs old, very gentle and friendly. Great for those looking for a good family dog."
Dog,Labrador Retriever,Female,Black,Medium,Medium,Yes,Yes,No,Healthy,1,0,V beautiful and lovely puppy wth a smiling face looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Amy
Cat,Domestic Medium Hair,Female,Black,Medium,Medium,No,Yes,No,Minor Injury,1,0,"My latest rescue. I suspect this 2 month old kitten was abandoned at a pasar malam in Bangi. Then I found it laying motionless at a nearby housing area last week, with eye infection, the flu & a bad case of kurap (scabies). Took it in to the vet immediately & currently she is being treated for scabies (kurap, almost healed already) and flu (still ada have a bit of selsema, but should clear up soon, as she's still on some medication). Overall, she's in much better shape now :) Kitten has been dewormed & de-flead & due to be discharged in 1-2 days' time. Her color is a dark tortoiseshell. She is very manja & needy in nature. Always seeking for attention & affection. Maybe because she lacks love..so a lot of love is needed for this baby! Serious adopters needed urgently! Adoption is free. Please contact me if you're interested. I can send her to wherever you are staying. For more pictures of the kitten, go to: Thanks everyone!"
Cat,Persian,Male,Brown,Small,Medium,No,No,No,Healthy,1,200,"Thank you so much for your email & interest to adopt him but he's already been adopted, sorry. Thanks again :)) _________________________________________________ Mixed breed of Persian and Siamese. Active and litter trained."
